FIELD	ps10_S1	ps11_S2	ps12_S3	ps37_S4	ps38_S5	ps40_S6	ps41_S7	ps44_S8	ps46_S9	ps48_S10	ps49_S11	ps50_S12
SpliceEvents_KnownLociWithFewReads	16278	18516	48457	17435	16187	21347	17564	17621	17061	18015	21838	21285
SpliceEvents_KnownLociWithManyReads	9033109	6530550	1232456	7735617	7737360	6316151	8912396	9105968	9334435	9053698	6661769	6140607
SpliceEvents_NovelLoci	459509	330380	63543	421038	407552	300573	422688	483719	477077	497137	318762	292709
SpliceEvents_NovelLociWithFewReads	44030	35251	13396	47434	43167	42621	50771	51649	54114	54834	43847	39032
SpliceEvents_NovelLociWithManyReads	415479	295129	50147	373604	364385	257952	371917	432070	422963	442303	274915	253677
StrandTest_frFirstStrand	12025633	8849774	1848155	9734968	10126400	8827294	11818572	11137069	12097617	12541110	8996696	8156934
StrandTest_frSecondStrand	3397471	2324541	478401	3190346	2650284	2221815	3283008	3657939	4177272	3601082	2669316	2462817
StrandTest_ambig_genesFountOnBothStrands	1027872	706060	163910	861834	803658	760191	1113728	1107570	1177475	1058335	943923	765879
StrandTest_ambig_noGenes	405229	269938	77996	341235	347898	273616	380713	399649	484306	473256	319894	245543
StrandTest_ambig_other	0	0	0	0	0	0	0	0	0	0	0	0
StrandTest_STRANDEDNESS_MATCHES_INFERRED	0	0	0	0	0	0	0	0	0	0	0	0
NumberOfChromosomesCovered	63	58	51	67	65	64	74	69	72	67	61	62
deletionLoci	64738	48317	15875	73944	66334	70126	86687	81632	92609	85541	69345	58375
insertionLoci	41410	31272	12663	43107	38357	34477	46197	50773	53867	49938	40621	36160
deletionEventCt	317971	225759	51857	295044	277403	284556	385178	340299	443121	417891	328208	253322
insertionEventCt	335495	231526	62652	272142	256550	234241	374909	342951	432331	393765	315923	242946
highCoverageDeletionLoci	4556	3607	1201	4216	3996	3771	4755	4374	5220	4966	4196	3666
highCoverageInsertionLoci	7109	5501	1435	6444	6062	5309	6976	7125	8540	8164	6167	5392
NumReadsAtMaxReadLength_R1	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsAtMaxReadLength_R2	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_R1	16856205	12150313	2568462	14128383	13928240	12082916	16596021	16302227	17936670	17673783	12929829	11631173
NumReadsTruncated_R2	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_25pct_R1	603307	442645	92563	510729	515457	453397	647918	651353	680323	655328	496217	462564
NumReadsTruncated_25pct_R2	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_50pct_R1	3468502	2582009	640029	2526366	2952352	2137096	2873868	2248163	2853148	3513922	2484950	2355927
NumReadsTruncated_50pct_R2	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_75pct_R1	14396225	10342170	2214900	11982649	11864300	10415409	13901788	13303456	15056632	15030806	10966841	9937250
NumReadsTruncated_75pct_R2	0	0	0	0	0	0	0	0	0	0	0	0
READ_LENGTH	301	301	301	301	301	301	301	301	301	301	301	301
COMPLETED_WITHOUT_WARNING	0	0	0	0	0	0	0	0	0	0	0	0
QoRTs_initTimeStamp	1552186327797	1552188278779	1552189631026	1552189924644	1552191528969	1552193138956	1552194709986	1552196647131	1552198547138	1552200683313	1552202971186	1552204504443
QoRTs_samDoneTimeStamp	1552188273072	1552189625423	1552189919512	1552191523095	1552193132229	1552194704376	1552196641383	1552198541239	1552200677271	1552202965226	1552204498892	1552205862811
QoRTs_majorVer	1	1	1	1	1	1	1	1	1	1	1	1
QoRTs_minorVer	3	3	3	3	3	3	3	3	3	3	3	3
QoRTs_patchVer	6	6	6	6	6	6	6	6	6	6	6	6
QoRTs_compileTimeStamp	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906
COMPLETED_WITHOUT_ERROR	1	1	1	1	1	1	1	1	1	1	1	1
SpliceLoci_Known_Covered	91714	89179	75974	91957	90295	91305	92968	93104	92008	90665	90932	91001
SpliceLoci_Novel_Covered	38832	30720	11404	43491	38278	40430	47386	48206	49273	49364	40223	35444
SpliceLoci_Covered	130546	119899	87378	135448	128573	131735	140354	141310	141281	140029	131155	126445
GC_byRead_Mean	78.56	78.58	76.82	77.78	78.11	78.57	79.17	80.58	77.6	76.91	77.16	77.61
GC_byRead_Median	75	75	74	74	75	76	76	76	74	74	74	74
GeneBodyCoverage_Overall_Mean	0.46	0.46	0.48	0.47	0.46	0.48	0.49	0.49	0.51	0.5	0.52	0.48
GeneBodyCoverage_Overall_Median	0.46	0.44	0.49	0.46	0.44	0.49	0.49	0.49	0.51	0.51	0.54	0.46
GeneBodyCoverage_LowExpress_Mean	0.48	0.47	0.49	0.49	0.47	0.5	0.5	0.5	0.52	0.52	0.53	0.49
GeneBodyCoverage_LowExpress_Median	0.46	0.46	0.49	0.49	0.46	0.49	0.51	0.51	0.54	0.54	0.54	0.49
GeneBodyCoverage_UMQuartile_Mean	0.47	0.46	0.49	0.48	0.47	0.49	0.5	0.5	0.53	0.52	0.54	0.49
GeneBodyCoverage_UMQuartile_Median	0.46	0.46	0.49	0.49	0.46	0.49	0.51	0.51	0.54	0.54	0.56	0.49
geneDiversityProfile_top1count	280687	174554	59044	173477	181659	141793	321371	287852	241315	137715	240797	176152
geneDiversityProfile_top10count	1314688	767047	218034	736920	783843	605753	1347131	1160850	1028353	803011	967648	819970
geneDiversityProfile_top100count	3935674	2441238	582456	2618373	2634126	2186468	3920810	3578095	3358501	2830118	2872446	2580258
geneDiversityProfile_top1000count	8315696	5794875	1253328	6338111	6349509	5505956	8191291	7831968	8052244	7814001	6169143	5586952
geneDiversityProfile_top1pct	0.02	0.02	0.03	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.02
geneDiversityProfile_top10pct	0.09	0.07	0.09	0.06	0.06	0.06	0.09	0.08	0.06	0.05	0.08	0.08
geneDiversityProfile_top100pct	0.26	0.22	0.25	0.21	0.21	0.2	0.26	0.25	0.21	0.18	0.25	0.25
geneDiversityProfile_top1000pct	0.55	0.53	0.54	0.5	0.51	0.51	0.55	0.54	0.5	0.49	0.54	0.53
